id;Anthropogenic_Areas;Flooded_Forest;Forest;Grassland;Flooded_grassland
7;32.52824019;0.222687602;62.7972071;0.055622037;0.003020727
22;30.80512347;5.928204532;38.98844094;0.71693754;4.74001206
8;38.55130007;0.232741193;52.78824705;0.1111878;4.032173356
23;43.99090387;1.030623143;30.28225601;4.014472432;1.198160432
35;65.66726113;0.354673994;27.46935705;1.330484943;0.180168928
37;1.941223909;1.235038978;11.19294396;14.70829186;57.05125653
36;36.16980406;3.717613211;17.20496073;8.81185112;7.695148975
24;38.92520216;0.951616089;12.02043057;12.69463356;0.291035412
38;3.342259968;0.889923552;9.301253602;18.79144786;27.72126824
39;1.322890708;0.207321946;6.945372382;19.63074956;54.75435372
50;8.259916117;6.536823822;12.47690887;18.03673088;26.05556976
49;38.26571906;4.133727519;32.19680695;15.50980975;0.715033024
52;0.447029903;0.549418011;5.278720924;11.12558408;78.61403602
53;3.021075379;3.115792592;19.29468933;15.05721954;48.13513686
54;10.0660784;3.27949275;36.95127335;8.823949717;30.26730528
63;1.996758528;7.564684218;48.98436774;33.68148178;9.422634539
62;18.03305701;8.772967357;28.97764474;12.42638458;16.25082643
64;0.666080601;12.07160657;28.47834584;30.3457836;26.34209284
65;0.504152106;2.549647271;23.09311906;17.51440341;51.67405061
66;3.381442281;1.28804954;55.90520146;8.776286133;29.59286992
67;17.52306362;1.753111355;52.33725416;8.920772154;11.51156995
68;27.15809969;3.989741429;25.76441613;13.70332968;17.89664417
55;30.11531217;5.034957686;27.28258421;5.257371735;18.04056907
69;15.41964867;7.357038294;16.94104935;8.896331762;32.39970515
74;2.881715308;4.154399805;62.95159866;16.14424552;12.09475788
73;2.194869261;11.34528229;69.81905101;19.36237022;11.22342907
60;4.019657961;3.822758853;75.75898666;11.35929803;7.002451436
72;1.214696202;22.48832833;61.97304582;9.260903365;18.71593493
75;6.49902282;7.587710057;48.34117741;15.14354008;16.26091063
61;16.57639802;5.573281217;54.51544235;13.70178944;7.457603476
76;2.514570513;12.6035411;44.63434587;11.26972341;24.64242486
77;0.145052979;12.96847407;52.75507714;7.997839018;29.00554187
78;0.20479363;7.019478208;52.76119761;15.1833538;27.69058638
79;3.592534201;4.62121025;57.0005449;19.76056553;21.07796369
80;26.76422065;5.075518171;32.04131425;13.8336509;15.5317641
81;19.55978233;12.55477656;13.49810013;5.948314819;41.55787883
82;5.125652967;9.23297564;5.506208179;8.816413714;62.60576427
83;5.006186681;9.260299517;7.908495213;2.567171119;67.91389151
86;1.243493819;40.1449368;47.86016358;8.78220879;9.471839911
85;0.364178851;45.50490952;51.92307916;2.989196533;3.67490495
87;0.366234083;25.10430221;60.69070081;9.690164994;15.56226148
88;1.522177607;13.77577266;49.88269057;9.992041547;28.75008247
89;5.324670044;10.41447858;32.81749582;22.92869131;21.1279456
90;0.403354169;16.65756576;39.58258783;7.245922363;34.73491444
91;3.205906055;25.58259907;34.13782653;13.0729796;27.52124523
92;6.056005437;33.64505879;18.93830165;10.50402133;24.78577815
93;9.547675202;24.69786923;10.18873734;13.10446742;36.25452451
94;3.818115525;25.31706348;4.068468527;19.2613742;37.24258413
95;1.44094479;14.47267985;5.632174226;35.97852384;28.77167635
96;1.609640766;7.329532252;16.28584209;24.05847095;31.5453707
97;7.463416645;7.363989577;51.81288203;7.206486439;11.74531811
100;1.896324496;57.21042422;26.73444686;10.21235129;11.86145624
102;0.26442978;30.32821359;26.86375941;6.065515616;41.76035163
103;0.981829542;29.944595;20.67657166;10.86413119;37.68907065
104;3.054613088;24.84216186;26.33889611;17.33342434;33.05461101
105;3.453823543;15.600079;20.12027721;20.32927922;42.58543115
106;1.686706723;22.32169194;20.68709178;16.99481248;41.88763645
107;2.829389499;10.99239325;15.36367797;26.95955131;29.15943262
108;1.765179152;8.928280974;12.10913538;34.23583113;27.4310181
109;1.060381718;7.987096868;25.19394657;28.09636119;17.3374576
115;1.820765615;64.54765658;8.634636482;13.57467615;21.71312327
114;0.413336143;67.5332786;23.29210046;3.234443225;7.637375491
116;0.317147272;57.7023887;16.99658426;6.509753462;28.52719235
117;1.84660094;23.63040083;14.61878365;13.06357844;45.09502256
118;1.077673077;6.94217566;10.25967553;24.65663574;44.67264841
119;1.678797983;9.407705177;10.24677015;20.331031;59.23668557
120;0.420456114;10.63869051;10.22701085;12.4928764;68.95419243
121;3.50020706;10.28952129;7.47687099;19.87006779;53.42533112
122;0.292720048;7.82667418;6.984820848;25.03560972;33.85964657
129;9.350369458;44.29861047;12.78371596;11.81772873;19.34728823
133;3.038433134;3.975776373;5.814030451;15.910662;69.02496351
134;1.654167441;9.242407519;4.694470908;12.682442;75.93317387
135;2.259503671;7.894669579;2.440805372;8.809700598;81.02994425
148;1.569997312;4.131094659;1.823671726;6.302572265;88.4233023
147;1.309281764;3.991687192;6.176515011;16.73489638;67.48170556
149;0.044172885;3.476086341;0.506447933;2.220205177;94.74867362
161;3.243766846;1.669851984;6.070208663;15.99541663;56.75361906
162;1.273225274;3.411454436;1.466016667;4.188228798;89.7422425
163;0.681773599;9.636925044;3.754259269;11.41680168;72.78508584
